,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,OHLC Avg Price,Day_Perc_Change,Trend
152,2019-03-20,1797.27,1769.94,1799.5,1767.03,6270000.0,3,2019,1841.5866208177774,1783.435,-0.012087332211998314,Slight or No change
153,2019-03-19,1761.85,1753.51,1784.16,1753.51,6360000.0,3,2019,1840.6909094441598,1763.2575,-0.019707667740517576,Slight or No change
154,2019-03-18,1742.15,1712.7,1750.0,1712.63,5430000.0,3,2019,1839.754805283415,1729.3700000000001,-0.011181428611970246,Slight or No change
155,2019-03-15,1712.36,1703.0,1718.8,1693.13,7550000.0,3,2019,1838.0940424760424,1706.8225,-0.017099560887409382,Slight or No change
156,2019-03-14,1686.22,1691.2,1702.0,1684.34,2950000.0,3,2019,1837.3243664318845,1690.94,-0.015265481557616312,Slight or No change
157,2019-03-13,1690.81,1683.0,1700.0,1679.35,3550000.0,3,2019,1836.4362489541536,1688.29,0.002722064736511154,Slight or No change
158,2019-03-12,1673.1,1669.0,1684.27,1660.98,3610000.0,3,2019,1835.4355975291044,1671.8375,-0.010474269728709906,Slight or No change
159,2019-03-11,1670.62,1626.12,1672.29,1626.01,3880000.0,3,2019,1834.3574633307483,1648.76,-0.0014822784053553084,Slight or No change
160,2019-03-08,1620.8,1604.01,1622.72,1586.57,4670000.0,3,2019,1832.6891851926198,1608.5249999999999,-0.02982126396188234,Slight or No change
161,2019-03-07,1625.95,1667.37,1669.75,1620.51,4960000.0,3,2019,1830.9879950893376,1645.895,0.0031774432379072515,Slight or No change
162,2019-03-06,1668.95,1695.97,1697.75,1668.28,4000000.0,3,2019,1829.9197946503618,1682.7375,0.02644607767766538,Slight or No change
163,2019-03-05,1692.43,1702.95,1707.8,1689.01,3680000.0,3,2019,1829.090959456139,1698.0475000000001,0.014068725845591601,Slight or No change
164,2019-03-04,1696.17,1685.0,1709.43,1674.36,6170000.0,3,2019,1827.7609307190814,1691.24,0.0022098402888155455,Slight or No change
165,2019-03-01,1671.73,1655.13,1674.26,1651.0,4970000.0,3,2019,1826.5133660451422,1663.03,-0.014408933066850649,Slight or No change
166,2019-02-28,1639.83,1635.25,1651.77,1633.83,3030000.0,2,2019,1825.607774486888,1640.17,-0.019082028796516215,Slight or No change
167,2019-02-27,1641.09,1628.18,1641.81,1615.1,3150000.0,2,2019,1824.6819083422272,1631.545,0.0007683723312781332,Slight or No change
168,2019-02-26,1636.4,1625.98,1639.99,1616.13,2670000.0,2,2019,1823.8845085971702,1629.625,-0.0028578566684336337,Slight or No change
169,2019-02-25,1633.0,1641.45,1654.6,1630.39,3180000.0,2,2019,1822.926501057416,1639.86,-0.0020777316059643613,Slight or No change
170,2019-02-22,1631.56,1623.5,1634.94,1621.17,3100000.0,2,2019,1821.9947945721824,1627.7925,-0.0008818126148193439,Slight or No change
171,2019-02-21,1619.44,1619.85,1623.56,1600.91,3480000.0,2,2019,1820.893746954077,1615.94,-0.00742847336291641,Slight or No change
172,2019-02-20,1622.1,1630.0,1634.93,1610.12,3340000.0,2,2019,1819.8619989433446,1624.2875,0.0016425431013189495,Slight or No change
173,2019-02-19,1627.58,1601.0,1634.0,1600.56,3680000.0,2,2019,1818.7687111028708,1615.7849999999999,0.0033783367239996753,Slight or No change
174,2019-02-15,1607.95,1627.86,1628.91,1604.5,4340000.0,2,2019,1817.3644609859414,1617.305,-0.01206085107951671,Slight or No change
175,2019-02-14,1622.65,1624.5,1637.9,1606.06,4120000.0,2,2019,1816.1409623596876,1622.7775000000001,0.009142075313287146,Slight or No change
176,2019-02-13,1640.0,1647.0,1656.38,1637.11,3560000.0,2,2019,1815.189773375402,1645.1225,0.01069238591193411,Slight or No change
177,2019-02-12,1638.01,1604.0,1639.39,1598.88,4860000.0,2,2019,1813.8931407920493,1620.0700000000002,-0.0012134146341463703,Slight or No change
178,2019-02-11,1591.0,1600.98,1609.29,1586.0,3320000.0,2,2019,1812.7843858439962,1596.8175,-0.028699458489264362,Slight or No change
179,2019-02-08,1588.22,1586.0,1588.59,1566.76,5660000.0,2,2019,1810.8960004754265,1582.3925000000002,-0.0017473287240729052,Slight or No change
180,2019-02-07,1614.37,1625.0,1625.54,1592.91,4630000.0,2,2019,1809.5533681073025,1614.455,0.016464973366410174,Slight or No change
181,2019-02-06,1640.26,1670.75,1672.26,1633.34,3940000.0,2,2019,1808.5748367930755,1654.1525000000001,0.016037215755991596,Slight or No change
182,2019-02-05,1658.81,1643.34,1665.26,1642.5,4450000.0,2,2019,1807.603471797114,1652.4775,0.011309182690548925,Slight or No change
183,2019-02-04,1633.31,1623.0,1649.63,1613.5,4930000.0,2,2019,1806.3600137475942,1629.8600000000001,-0.01537246580379914,Slight or No change
184,2019-02-01,1626.23,1638.88,1673.06,1622.01,11510000.0,2,2019,1803.4088700999232,1640.045,-0.004334755802633872,Slight or No change
185,2019-01-31,1718.73,1692.85,1736.41,1679.08,10910000.0,1,2019,1802.1139700049057,1706.7675,0.05688002312096074,Slight or No change
